Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00  2000200     0.00     0.00  __gnu_cxx::__normal_iterator<lilc::DeepCode*, std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> > >::operator*() const
  0.00      0.01     0.00  2000200     0.00     0.00  __gnu_cxx::__normal_iterator<lilc::DeepCode*, std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> > >::operator-(long) const
  0.00      0.01     0.00  2000200     0.00     0.00  std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> >::back()
  0.00      0.01     0.00  2000101     0.00     0.00  lilc::foundNextWord(char const*) const
  0.00      0.01     0.00  2000101     0.00     0.00  std::vector<char const*, std::allocator<char const*> >::data() const
  0.00      0.01     0.00  2000003     0.00     0.00  std::__detail::_Node_iterator<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false>*)
  0.00      0.01     0.00  2000000     0.00     0.00  controller::getArrayElem(char const*, unsigned long, double&) const
  0.00      0.01     0.00  2000000     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() const
  0.00      0.01     0.00  2000000     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(char const* const&) const
  0.00      0.01     0.00  2000000     0.00     0.00  std::unordered_map<char const*, std::vector<double, std::allocator<double> >*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> > >::end() const
  0.00      0.01     0.00  2000000     0.00     0.00  std::unordered_map<char const*, std::vector<double, std::allocator<double> >*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> > >::find(char const* const&) const
  0.00      0.01     0.00  2000000     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false, false>::operator->() const
  0.00      0.01     0.00  2000000     0.00     0.00  term
  0.00      0.01     0.00  1000204     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.00      0.01     0.00  1000204     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(char const* const&)
  0.00      0.01     0.00  1000204     0.00     0.00  std::unordered_map<char const*, double*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double*> > >::end()
  0.00      0.01     0.00  1000204     0.00     0.00  std::unordered_map<char const*, double*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double*> > >::find(char const* const&)
  0.00      0.01     0.00  1000202     0.00     0.00  controller::setVar(char const*, double)
  0.00      0.01     0.00  1000202     0.00     0.00  std::__detail::_Node_iterator<std::pair<char const* const, double*>, false, false>::operator->() const
  0.00      0.01     0.00  1000108     0.00     0.00  std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> >::size() const
  0.00      0.01     0.00  1000100     0.00     0.00  lilc::_opCLOSEBRACE()
  0.00      0.01     0.00  1000100     0.00     0.00  lilc::isNumber(char const*)
  0.00      0.01     0.00  1000100     0.00     0.00  std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> >::operator[](unsigned long)
  0.00      0.01     0.00  1000100     0.00     0.00  lilc::_opSet()::{lambda(char const*)#1}::operator()(char const*) const
  0.00      0.01     0.00  1000097     0.00     0.00  lilc::isOneCharOperator(char)
  0.00      0.01     0.00  1000003     0.00     0.00  lilc::nextWord()
  0.00      0.01     0.00  1000001     0.00     0.00  std::__detail::_Node_iterator<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false, false>::operator->() const
  0.00      0.01     0.00  1000001     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.00      0.01     0.00  1000001     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(char const* const&)
  0.00      0.01     0.00  1000001     0.00     0.00  std::unordered_map<char const*, std::vector<double, std::allocator<double> >*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> > >::end()
  0.00      0.01     0.00  1000001     0.00     0.00  std::unordered_map<char const*, std::vector<double, std::allocator<double> >*, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> >*> > >::find(char const* const&)
  0.00      0.01     0.00  1000000     0.00     0.00  controller::setArrayElem(char const*, int, double)
  0.00      0.01     0.00  1000000     0.00     0.00  controller::setArrayElem(char const*, unsigned long, double)
  0.00      0.01     0.00  1000000     0.00     0.00  lilc::getExpression(int, int)
  0.00      0.01     0.00  1000000     0.00     0.00  lilc::_fnEval(int, int)
  0.00      0.01     0.00  1000000     0.00     0.00  expr
  0.00      0.01     0.00  1000000     0.00     0.00  list
  0.00      0.01     0.00  1000000     0.00     0.00  te_compile
  0.00      0.01     0.00  1000000     0.00     0.00  te_interp
  0.00      0.01     0.00   880000     0.00     0.00  find_builtin
  0.00      0.01     0.00   880000     0.00     0.00  find_lookup
  0.00      0.01     0.00   360000     0.00     0.00  te_eval
  0.00      0.01     0.00   120000     0.00     0.00  add
  0.00      0.01     0.00   120000     0.00     0.00  mul
  0.00      0.01     0.00   120000     0.00     0.00  optimize
